引导step	nextStep	guideType	interruptStep	showType	str	func	pagename	ownerVar	showname	funcParam	selectEffect	leftNpc	autoNext	stopBattle	openMask	touchCheck	waitOpcode	Voice
140015	140014	14	140009	5														
140014	0	14	0	1	@NewbieGuideStr44				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_44
140051	140003	14	140051	1	@NewbieGuideStr42				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_42
150001	150002	15	150051	1	@NewbieGuideStr45				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_45
150002	150003	15	150051	2			MainFrame	mMainPageBtn			guideBtnItem.ccbi|A_Shou3.ccbi					MainFrame.ccbi_onMainPageBtn		
150003	150004	15	150051	2			MainScene	mGuideSecretNode			guideBtnItem.ccbi|A_Shou2.ccbi					MainSceneBtn.ccbi_onBtn		
150004	150005	15	150051	1	@NewbieGuideStr46				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_46
150005	150006	15	150051	2			SecretMessageItemFire1	mGuideNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			SecretMessageContent.ccbi_onClick		
150006	150007	15	150051	1	@NewbieGuideStr47				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_47
150007	150008	15	150051	1	@NewbieGuideStr48				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_48
150008	150009	15	150051	1	@NewbieGuideStr49				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_49
150009	150010	15	150051	2			SecretMessagePage	mAnsBtn1			guideBtnItem.ccbi|A_Shou3.ccbi		1			SecretMessage.ccbi_onAnswer1		
150010	150011	15	150051	4														
150011	150012	15	150052	4														
150012	150013	15	150052	1	@NewbieGuideStr50				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_50
150013	150014	15	150052	2			AlbumIndvidualPopup	mUnlockNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			AlbumIndvidualPopoutContent_onConfirm		
150014	150020	15	150056	4														
150015	150021	15	150056	1	@NewbieGuideStr51				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_51
150016	150017	15	150056	2			CommonTabItem_Album	btnImg			guideBtnItem.ccbi|A_Shou3.ccbi		1			CommonTabStorageItem.ccbi_onBtn		
150017	150018	15	150056	1	@NewbieGuideStr52				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_52
150018	150019	15	150056	2			CommonTabItem_HCG	btnImg			guideBtnItem.ccbi|A_Shou4.ccbi					CommonTabStorageItem.ccbi_onBtn		
150019	0	15	0	1	@NewbieGuideStr53				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_53
150020	150015	15	150056	5														
150021	150016	15	150056	2			CommonTabStorage_Album.AlbumPage	returnBtn			guideBtnItem.ccbi|A_Shou3.ccbi		1			CommonTabStorage.ccbi_onReturnBtn		
150051	150003	15	150051	1	@NewbieGuideStr45				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_45
150052	150053	15	150052	1	@NewbieGuideStr45				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_45
150053	150054	15	150052	2			MainScene	mGuideSecretNode			guideBtnItem.ccbi|A_Shou2.ccbi					MainSceneBtn.ccbi_onBtn		
150054	150055	15	150052	1	@NewbieGuideStr46				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_46
150055	150008	15	150052	2			SecretMessageItemFire1	mGuideNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			SecretMessageContent.ccbi_onClick		
150056	150057	15	150056	1	@NewbieGuideStr45				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_45
150057	150015	15	150056	2			MainScene	mGuideSecretNode			guideBtnItem.ccbi|A_Shou2.ccbi					MainSceneBtn.ccbi_onBtn		
160001	160002	16	160051	1	@NewbieGuideStr18				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_18
160002	160003	16	160051	2			NgBattlePage	mExpressNode			guideBtnItem.ccbi|A_Shou4.ccbi					BattlePage.ccbi_onExpress		
160003	160004	16	160051	1	@NewbieGuideStr19				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_19
160004	160005	16	160051	2			NgBattleExpressPage	mExpressBtn			guideBtnItem.ccbi|A_Shou3.ccbi					ExpressBattle.ccbi_onExpress		
160005	0	16	160051	2			DecisionPage	mGuideNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			GeneralDecisionPopUp.ccbi_onConfirmation		
160051	160001	16	160051	2			MainFrame	mBattlePageBtn			guideBtnItem.ccbi|A_Shou3.ccbi					MainFrame.ccbi_onBattlePageBtn		
170001	170002	17	170001	1	@GloryHoleNewbieGuide01				@HeroName_17			HalfBody/role/teach_17000.png						GloryHoleNewbieGuide_Vo_1
170002	170003	17	170001	1	@GloryHoleNewbieGuide02				@HeroName_999			HalfBody/role/teach_99000.png						GloryHoleNewbieGuide_Vo_2
170003	170004	17	170001	1	@GloryHoleNewbieGuide03				@HeroName_17			HalfBody/role/teach_17000.png						GloryHoleNewbieGuide_Vo_3
170004	170005	17	170001	1	@GloryHoleNewbieGuide04				@HeroName_999			HalfBody/role/teach_99005.png						GloryHoleNewbieGuide_Vo_4
170005	170006	17	170001	1	@GloryHoleNewbieGuide05				@HeroName_17			HalfBody/role/teach_17007.png						GloryHoleNewbieGuide_Vo_5
170006	170007	17	170001	1	@GloryHoleNewbieGuide06				@HeroName_17			HalfBody/role/teach_17007.png						GloryHoleNewbieGuide_Vo_6
170007	170008	17	170001	1	@GloryHoleNewbieGuide07				@HeroName_17			HalfBody/role/teach_17007.png						GloryHoleNewbieGuide_Vo_7
170008	170009	17	170001	1	@GloryHoleNewbieGuide08				@HeroName_999			HalfBody/role/teach_99005.png						GloryHoleNewbieGuide_Vo_8
170009	170010	17	170001	1	@GloryHoleNewbieGuide09				@HeroName_17			HalfBody/role/teach_17007.png						GloryHoleNewbieGuide_Vo_9
170010	0	17	0	1	@GloryHoleNewbieGuide10				@HeroName_17			HalfBody/role/teach_17007.png						GloryHoleNewbieGuide_Vo_10
1	0	0	0															
2	9	0	0															
3	14	0	0															
4	18	0	1															
	19	0	1															
6	15	0	1															
7	38	0	1															
8	54	0	1															
9	58	0	1															
10	73	0	1															
11	78	0	1															
12	79	0	1															
13	83	0	1															
14	37	0	1															
15	59	0	1															
16	23	0	1															
17	0	0	0															
