id	内容
DispelBuffLogEnemy	<font color="#351100" face = "HelveticaBD18" >[#v1#]</font><font color="#dc1f1f" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >將</font><font color="#204eda" face = "HelveticaBD18" >#v3#</font><font color="#351100" face = "HelveticaBD18" >的</font><font color="#136811" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18">強制解除了.</font>
AttactSkillEle	<font color="#ff0e00" face = "HelveticaBD18" >[#v1#]</font><font color="#204eda" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >使用</font><font color="#307127" face = "HelveticaBD18" >#v3#</font><font color="#351100" face = "HelveticaBD18" >.</font><font color="#0052e9" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18" >造成</font><font color="#fe0000" face = "HelveticaBD18" >#v5#</font><font color="#351100" face = "HelveticaBD18" >的傷害.</font>
AttactSkillEnemyEle	<font color="#ff0e00" face = "HelveticaBD18" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >使用</font><font color="#307127" face = "HelveticaBD18" >#v3#</font><font color="#351100" face = "HelveticaBD18" >.</font><font color="#204eda" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18" >造成</font><font color="#fe0000" face = "HelveticaBD18" >#v5#</font><font color="#351100" face = "HelveticaBD18" >的傷害.</font>
AttactNormalEle	<font color="#ff0e00" face = "HelveticaBD18" >[#v1#]</font><font color="#204eda" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >對</font><font color="#0052e9" face = "HelveticaBD18" >#v3#</font><font color="#351100" face = "HelveticaBD18" >造成</font><font color="#fe0000" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18" >的傷害.</font><font color="#fe0000" face = "HelveticaBD18" >#v5#</font><font color="#351100" face = "HelveticaBD18" > 的屬性傷害）.</font>
AttactNormalEnemyEle	<font color="#ff0e00" face = "HelveticaBD18" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >進攻</font><font color="#204eda" face = "HelveticaBD18" >#v3#</font><font color="#351100" face = "HelveticaBD18" >對</font><font color="#fe0000" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18" >造成傷害.</font><font color="#fe0000" face = "HelveticaBD18" >#v5#</font><font color="#351100" face = "HelveticaBD18" >的屬性傷害）.</font>
FightReport	<font  color="#204eda" face = "HelveticaBD18" size ="100"> </font><font  color="#204eda" face = "HelveticaBD18" size ="100"></font><p style="margin:10px" ><font color="#6f2f00" face = "HelveticaBD18">戰鬥時間</font><font color="#02fd20" face = "HelveticaBD18"> #v1#</font><font color="#6f2f00" face = "HelveticaBD18">　</font><br/><font color="#6f2f00" face = "HelveticaBD18">关卡</font><font color="#02fd20" face = "HelveticaBD18"> #v2#</font><font color="#6f2f00" face = "HelveticaBD18">戰鬥次數</font><font color="#02fd20" face = "HelveticaBD18"> #v3#</font><font color="#6f2f00" face = "HelveticaBD18">回</font><br/><font color="#6f2f00" face = "HelveticaBD18">勝　利:</font><font color="#02fd20" face = "HelveticaBD18">#v4#</font><br/><font color="#6f2f00" face = "HelveticaBD18">敗　北:</font><font color="#02fd20" face = "HelveticaBD18">#v5#</font><br/><font color="#6f2f00" face = "HelveticaBD18">獲得經驗值:</font><font color="#02fd20" face = "HelveticaBD18">#v6#</font><br/><font color="#6f2f00" face = "HelveticaBD18">獲得金幣:</font><font color="#02fd20" face = "HelveticaBD18">#v7#</font><br/></p>
FightReportForLevelUp	<font  color="#204eda" face = "HelveticaBD18" size ="100"> </font><font  color="#204eda" face = "HelveticaBD18" size ="100"></font><p style="margin:10px" ><font color="#6f2f00" face = "HelveticaBD18">戰鬥時間</font><font color="#02fd20" face = "HelveticaBD18">#v1#</font><font color="#6f2f00" face = "HelveticaBD18">　</font><br/><font color="#6f2f00" face = "HelveticaBD18">关卡</font><font color="#02fd20" face = "HelveticaBD18"> #v2#</font><font color="#6f2f00" face = "HelveticaBD18">戰鬥次數</font><font color="#02fd20" face = "HelveticaBD18"> #v3#</font><font color="#6f2f00" face = "HelveticaBD18">次</font><br/><font color="#6f2f00" face = "HelveticaBD18">勝　利:</font><font color="#02fd20" face = "HelveticaBD18">#v4#</font><br/><font color="#6f2f00" face = "HelveticaBD18">敗　北:</font><font color="#02fd20" face = "HelveticaBD18">#v5#</font><br/><font color="#6f2f00" face = "HelveticaBD18">獲得經驗值:</font><font color="#02fd20" face = "HelveticaBD18">#v6#</font><font color="#6f2f00" face = "HelveticaBD18">等級</font><font color="#ff00ff" face = "HelveticaBD18">#v7#</font><font color="#6f2f00" face = "HelveticaBD18">から</font><font color="#ff00ff" face = "HelveticaBD18">上升為#v8#</font><br/><font color="#6f2f00" face = "HelveticaBD18">獲得金幣:</font><font color="#02fd20" face = "HelveticaBD18">#v9#</font><br/></p>
ElementPiece	<font color="#6f2f00" face = "HelveticaBD18">退出:</font><font color="#6f2f00" face = "HelveticaBD18">護身符殘片</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
GreenElement	<font color="#6f2f00" face = "HelveticaBD18">退出:</font><font color="#006729" face = "HelveticaBD18">C級屬性</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
BlueElement	<font color="#6f2f00" face = "HelveticaBD18">退出:</font><font color="#31a7fa" face = "HelveticaBD18">B級屬性</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
PurpleElement	<font color="#6f2f00" face = "HelveticaBD18">退出:</font><font color="#204eda" face = "HelveticaBD18">A級屬性</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
OrangeElement	<font color="#6f2f00" face = "HelveticaBD18">退出:</font><font color="#f9b522" face = "HelveticaBD18">S級屬性</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
GreenMaterial	<font color="#6f2f00" face = "HelveticaBD18">分解獲得:</font><font color="#006729" face = "HelveticaBD18">屬性之塵</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
BlueMaterial	<font color="#6f2f00" face = "HelveticaBD18">分解獲得:</font><font color="#31a7fa" face = "HelveticaBD18">屬性之粒</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
PurpleMaterial	<font color="#6f2f00" face = "HelveticaBD18">分解獲得:</font><font color="#204eda" face = "HelveticaBD18">屬性之塊</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
OrangeMaterial	<font color="#6f2f00" face = "HelveticaBD18">分解獲得:</font><font color="#f9b522" face = "HelveticaBD18">屬性之核</font><font color="#6f2f00" face = "HelveticaBD18">×#v1#</font>
SellElementGot	<font color="#351100" face = "HelveticaBD18">分解獲得:</font><font color="#204eda" face = "HelveticaBD18">護身符殘片×#v1#</font>
GreenDetailElement	<font color="#006729" face = "HelveticaBD18" >獲得:</font><font color="#006729" face = "HelveticaBD18" >#v1#</font>
BlueDetailElement	<font color="#31a7fa" face = "HelveticaBD18" >獲得:</font><font color="#31a7fa" face = "HelveticaBD18" >#v1#</font>
PurpleDetailElement	<font color="#204eda" face = "HelveticaBD18" >獲得:</font><font color="#204eda" face = "HelveticaBD18" >#v1#</font>
OrangeDetailElement	<font color="#f9b522" face = "HelveticaBD18" >獲得:</font><font color="#f9b522" face = "HelveticaBD18" >#v1#</font>
Margin2	<p style="margin:2px" >#v1#</p>
FightBackLog1	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#ff0000" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >的</font><font color="#ff0000" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >反射傷害。</font></p>
ActionBuffReduceHP	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >受到</font><font color="#ff0000" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >，HP減少了</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
ReplaceRole	<p style="margin:2px" ><font color="#351100" face = "HelveticaBD18" >[#v1#]</font><font color="#204eda" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >來援助參戰了！</font></p>
ReplaceRole_Enemy	<p style="margin:2px" ><font color="#351100" face = "HelveticaBD18" >[#v1#]</font><font color="#ff0000" face = "HelveticaBD18" >#v2#</font><font color="#351100" face = "HelveticaBD18" >來援助參戰了！</font></p>
ActionBuffHealHP	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >使</font><font color="#0036ff" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >回復了</font><font color="#0036ff" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >HP。</font></p>
TransferDamageBuff	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >將</font><font color="#00a51f" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >點傷害轉移給了</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#351100" face = "HelveticaBD18" ></font></p>
