id	头部位置、比例1	头部位置、比例2	头部音效组1	头部音效组2	胸部位置、比例1	胸部位置、比例2	胸部音效组1	胸部音效组2	臀部位置、比例1	臀部位置、比例2	臀部音效组1	臀部音效组2	解锁音效
201	-7,386,1.0,1.0	-7,386,1.0,1.0	UR_zhouyu_head1.mp3,UR_zhouyu_head2.mp3		-8,246,1.1,1.0	-8,246,1.1,1.0	UR_zhouyu_bust1.mp3,UR_zhouyu_bust2.mp3		-17,58,1.1,1.1	-17,58,1.1,1.1	UR_zhouyu_hip1.mp3,UR_zhouyu_hip2.mp3		UR_zhouyu_recruit.mp3
202	-25,345,1.7,1.4	-25,345,1.7,1.4	UR_sunjian_head1.mp3,UR_sunjian_head2.mp3		51,202,1.3,1.2	51,202,1.3,1.2	UR_sunjian_bust1.mp3,UR_sunjian_bust2.mp3		-4,35,1.2,1.2	-4,35,1.2,1.2	UR_sunjian_hip1.mp3,UR_sunjian_hip2.mp3		UR_sunjian_recruit.mp3
203	2,331,1.0,1.4	2,331,1.0,1.4	UR_taishici_head1.mp3,UR_taishici_head2.mp3		44,166,1.2,1.3	44,166,1.2,1.3	UR_taishici_bust1.mp3,UR_taishici_bust2.mp3		-3,40,1.2,1.2	-3,40,1.2,1.2	UR_taishici_hip1.mp3,UR_taishici_hip2.mp3		UR_taishici_recruit.mp3
204	11,328,1.0,1.2	11,328,1.0,1.2	UR_sunshangxiang_head1.mp3,UR_sunshangxiang_head2.mp3		-5,182,1.0,1.1	-5,182,1.0,1.1	UR_sunshangxiang_bust1.mp3,UR_sunshangxiang_bust2.mp3		-15,0,1.3,1.3	-15,0,1.3,1.3	UR_sunshangxiang_hip1.mp3,UR_sunshangxiang_hip2.mp3		UR_sunshangxiang_recruit.mp3
205	111,314,1.1,1.3	111,314,1.1,1.3	UR_lingtong_head1.mp3,UR_lingtong_head2.mp3		101,144,1.1,1.3	101,144,1.1,1.3	UR_lingtong_bust1.mp3,UR_lingtong_bust2.mp3		-98,47,1.3,1.4	-98,47,1.3,1.4	UR_lingtong_hip1.mp3,UR_lingtong_hip2.mp3		UR_lingtong_recruit.mp3
206	15,337,1.0,1.2	15,337,1.0,1.2	UR_huanggai_head1.mp3,UR_huanggai_head2.mp3		-4,204,1.1,1.1	-4,204,1.1,1.1	UR_huanggai_bust1.mp3,UR_huanggai_bust2.mp3		-18,52,1.2,1.2	-18,52,1.2,1.2	UR_huanggai_hip1.mp3,UR_huanggai_hip2.mp3		UR_huanggai_recruit.mp3
207	94,210,1.1,1.3	94,210,1.1,1.3	UR_shamoke_head1.mp3,UR_shamoke_head2.mp3		111,80,1.0,1.0	111,80,1.0,1.0	UR_shamoke_bust1.mp3,UR_shamoke_bust2.mp3		102,-47,1.2,1.3	102,-47,1.2,1.3	UR_shamoke_hip1.mp3,UR_shamoke_hip2.mp3		UR_shamoke_recruit.mp3
208	7,377,1.0,1.2	7,377,1.0,1.2	UR_handang_head1.mp3,UR_handang_head2.mp3		37,211,1.1,1.2	37,211,1.1,1.2	UR_handang_bust1.mp3,UR_handang_bust2.mp3		11,1,1.3,1.4	11,1,1.3,1.4	UR_handang_hip1.mp3,UR_handang_hip2.mp3		UR_handang_recruit.mp3
209	55,335,1.0,1.2	55,335,1.0,1.2	UR_wuban_head1.mp3,UR_wuban_head2.mp3		34,167,1.1,1.3	34,167,1.1,1.3	UR_wuban_bust1.mp3,UR_wuban_bust2.mp3		2,-24,1.3,1.3	2,-24,1.3,1.3	UR_wuban_hip1.mp3,UR_wuban_hip2.mp3		UR_wuban_recruit.mp3
210	11,195,1.2,1.2	11,195,1.2,1.2	UR_yanliang_head1.mp3,UR_yanliang_head2.mp3		24,40,1.2,1.0	24,40,1.2,1.0	UR_yanliang_bust1.mp3,UR_yanliang_bust2.mp3		-12,-142,1.3,1.2	-12,-142,1.3,1.2	UR_yanliang_hip1.mp3,UR_yanliang_hip2.mp3		UR_yanliang_recruit.mp3
211	-21,282,1.1,1.2	-21,282,1.1,1.2	UR_guohuai_head1.mp3,UR_guohuai_head2.mp3		-32,121,1.0,1.2	-32,121,1.0,1.2	UR_guohuai_bust1.mp3,UR_guohuai_bust2.mp3		120,-1,1.0,1.2	120,-1,1.0,1.2	UR_guohuai_hip1.mp3,UR_guohuai_hip2.mp3		UR_guohuai_recruit.mp3
212	61,341,1.1,1.2	61,341,1.1,1.2	UR_wenchou_head1.mp3,UR_wenchou_head2.mp3		90,188,1.1,1.1	90,188,1.1,1.1	UR_wenchou_bust1.mp3,UR_wenchou_bust2.mp3		61,12,1.2,1.2	61,12,1.2,1.2	UR_wenchou_hip1.mp3,UR_wenchou_hip2.mp3		UR_wenchou_recruit.mp3
213	-2.5,350,0.9,1.2	-2.5,350,0.9,1.2	UR_jiangwei_head1.mp3,UR_jiangwei_head2.mp3		50,210,1.2,1.1	50,210,1.2,1.1	UR_jiangwei_bust1.mp3,UR_jiangwei_bust2.mp3		33,15,1.2,1.1	33,15,1.2,1.1	UR_jiangwei_hip1.mp3,UR_jiangwei_hip2.mp3		UR_jiangwei_recruit.mp3
214	-40,311,1.0,1.3	-40,311,1.0,1.3	UR_chengpu_head1.mp3,UR_chengpu_head2.mp3		-27,165,1.0,1.2	-27,165,1.0,1.2	UR_chengpu_bust1.mp3,UR_chengpu_bust2.mp3		-11,25,1.1,1.2	-11,25,1.1,1.2	UR_chengpu_hip1.mp3,UR_chengpu_hip2.mp3		UR_chengpu_recruit.mp3
215	-11,340,1.0,1.2	-11,340,1.0,1.2	UR_bianfuren_head1.mp3,UR_bianfuren_head2.mp3		-10,198,1.1,1.1	-10,198,1.1,1.1	UR_bianfuren_bust1.mp3,UR_bianfuren_bust2.mp3		18,28,1.2,1.3	18,28,1.2,1.3	UR_bianfuren_hip1.mp3,UR_bianfuren_hip2.mp3		UR_bianfuren_recruit.mp3
216	-24,327,1.1,1.2	-24,327,1.1,1.2	UR_yanyan_head1.mp3,UR_yanyan_head2.mp3		0,187,1.1,1.1	0,187,1.1,1.1	UR_yanyan_bust1.mp3,UR_yanyan_bust2.mp3		11,-10,1.2,1.2	11,-10,1.2,1.2	UR_yanyan_hip1.mp3,UR_yanyan_hip2.mp3		UR_yanyan_recruit.mp3
217													
218	34,340,1.1,1.2	34,340,1.1,1.2	UR_menghuo_head1.mp3,UR_menghuo_head2.mp3		32,168,1.1,1.1	32,168,1.1,1.1	UR_menghuo_bust1.mp3,UR_menghuo_bust2.mp3		32,8,1.3,1.3	32,8,1.3,1.3	UR_menghuo_hip1.mp3,UR_menghuo_hip2.mp3		UR_menghuo_recruit.mp3
219	52,310,1.1,1.3	52,310,1.1,1.3	UR_caopi_head1.mp3,UR_caopi_head2.mp3		95,138,1.1,1.1	95,138,1.1,1.1	UR_caopi_bust1.mp3,UR_caopi_bust2.mp3		-17,1,1.3,1.3	-17,1,1.3,1.3	UR_caopi_hip1.mp3,UR_caopi_hip2.mp3		UR_caopi_recruit.mp3
220	-70,351,1.1,1.2	-70,351,1.1,1.2	UR_zhangzhao_head1.mp3,UR_zhangzhao_head2.mp3		-90,218,1.1,1.1	-90,218,1.1,1.1	UR_zhangzhao_bust1.mp3,UR_zhangzhao_bust2.mp3		30,72,1.2,1.2	30,72,1.2,1.2	UR_zhangzhao_hip1.mp3,UR_zhangzhao_hip2.mp3		UR_zhangzhao_recruit.mp3
221	-27,354,1.1,1.4	-27,354,1.1,1.4	UR_simahui_head1.mp3,UR_simahui_head2.mp3		-20,162,1.3,1.3	-20,162,1.3,1.3	UR_simahui_bust1.mp3,UR_simahui_bust2.mp3		-40,-1,1.2,1.1	-40,-1,1.2,1.1	UR_simahui_hip1.mp3,UR_simahui_hip2.mp3		UR_simahui_recruit.mp3
222													
223													
224													
225													
226													
227													
228	-11,328,1.0,1.2	-11,328,1.0,1.2	UR_wenpin_head1.mp3,UR_wenpin_head2.mp3		-8,191,1.1,1.3	-8,191,1.1,1.3	UR_wenpin_bust1.mp3,UR_wenpin_bust2.mp3		-10,0,1.3,1.3	-10,0,1.3,1.3	UR_wenpin_hip1.mp3,UR_wenpin_hip2.mp3		UR_wenpin_recruit.mp3
229	2,336,1.0,1.1	2,336,1.0,1.1	UR_zhugeliang_head1.mp3,UR_zhugeliang_head2.mp3		-60,183,1.0,1.1	-60,183,1.0,1.1	UR_zhugeliang_bust1.mp3,UR_zhugeliang_bust2.mp3		-25,26,1.1,1.0	-25,26,1.1,1.0	UR_zhugeliang_hip1.mp3,UR_zhugeliang_hip2.mp3		UR_zhugeliang_recruit.mp3
230	130,391,1.0,1.2	130,391,1.0,1.2	UR_caoren_head1.mp3,UR_caoren_head2.mp3		95,234,1.2,1.2	95,234,1.2,1.2	UR_caoren_bust1.mp3,UR_caoren_bust2.mp3		115,41,1.3,1.1	115,41,1.3,1.1	UR_caoren_hip1.mp3,UR_caoren_hip2.mp3		UR_caoren_recruit.mp3
231	24,314,1.1,1.3	24,314,1.1,1.3	UR_lvlingqi_head1.mp3,UR_lvlingqi_head2.mp3		54,162,1.1,1.2	54,162,1.1,1.2	UR_lvlingqi_bust1.mp3,UR_lvlingqi_bust2.mp3		24,-1,1.3,1.3	24,-1,1.3,1.3	UR_lvlingqi_hip1.mp3,UR_lvlingqi_hip2.mp3		UR_lvlingqi_recruit.mp3
232													
233	-60,298,1.0,1.3	-60,298,1.0,1.3	UR_zhugejin_head1.mp3,UR_zhugejin_head2.mp3		-27,161,1.1,1.3	-27,161,1.1,1.3	UR_zhugejin_bust1.mp3,UR_zhugejin_bust2.mp3		50,35,1.3,1.3	50,35,1.3,1.3	UR_zhugejin_hip1.mp3,UR_zhugejin_hip2.mp3		UR_zhugejin_recruit.mp3
234	8,327,1.0,1.3	8,327,1.0,1.3	UR_jianyong_head1.mp3,UR_jianyong_head2.mp3		-2,217,1.0,1.1	-2,217,1.0,1.1	UR_jianyong_bust1.mp3,UR_jianyong_bust2.mp3		-11,37,1.2,1.3	-11,37,1.2,1.3	UR_jianyong_hip1.mp3,UR_jianyong_hip2.mp3		UR_jianyong_recruit.mp3
235	40,298,1.1,1.3	40,298,1.1,1.3	UR_chengong_head1.mp3,UR_chengong_head2.mp3		20,130,1.2,1.2	20,130,1.2,1.2	UR_chengong_bust1.mp3,UR_chengong_bust2.mp3		-32,-1,1.3,1.2	-32,-1,1.3,1.2	UR_chengong_hip1.mp3,UR_chengong_hip2.mp3		UR_chengong_recruit.mp3
236	-17,320,1.0,1.3	-17,320,1.0,1.3	UR_mateng_head1.mp3,UR_mateng_head2.mp3		60,185,1.1,1.3	60,185,1.1,1.3	UR_mateng_bust1.mp3,UR_mateng_bust2.mp3		-18,8,1.2,1.3	-18,8,1.2,1.3	UR_mateng_hip1.mp3,UR_mateng_hip2.mp3		UR_mateng_recruit.mp3
237													
238	-12,370,1.0,1.3	-12,370,1.0,1.3	UR_liuxie_head1.mp3,UR_liuxie_head2.mp3		-2,231,1.2,1.2	-2,231,1.2,1.2	UR_liuxie_bust1.mp3,UR_liuxie_bust2.mp3		-10,80,1.3,1.3	-10,80,1.3,1.3	UR_liuxie_hip1.mp3,UR_liuxie_hip2.mp3		UR_liuxie_recruit.mp3
239	-19,290,1.3,1.3	-63,290,1.3,1.3	UR_zuoci_head1.mp3,UR_zuoci_head2.mp3		20,160,1.2,1.2	20,160,1.2,1.2	UR_zuoci_bust1.mp3,UR_zuoci_bust2.mp3		-18,7,1.3,1.3	-18,7,1.3,1.3	UR_zuoci_hip1.mp3,UR_zuoci_hip2.mp3		UR_zuoci_recruit.mp3
240	11,345,1.0,1.1	11,345,1.0,1.1	UR_xuhuang_head1.mp3,UR_xuhuang_head2.mp3		61,224,1.0,1.0	61,224,1.0,1.0	UR_xuhuang_bust1.mp3,UR_xuhuang_bust2.mp3		-5,33,1.2,1.1	-5,33,1.2,1.1	UR_xuhuang_hip1.mp3,UR_xuhuang_hip2.mp3		UR_xuhuang_recruit.mp3
