id	type	param	des	first_drop	normal_drop	monster	star	fightvalue
180	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_100100,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_8000	818009,818008,818007,818005,818003,818001	20,10	10000
181	1		@PveTongTianTatcontent4	10000_1004_102400,30000_202011_1	30000_104211_1,10000_1002_8000	818106,818105,818104,818103,818102,818101	20,10	0
182	1		@PveTongTianTatcontent4	10000_1004_102400,30000_202001_1	30000_101001_1,10000_1002_8100	818206,818205,818204,818203,818202,818201	20,10	0
183	1		@PveTongTianTatcontent4	10000_1004_102400,30000_202011_1	30000_104211_1,10000_1002_8100	818306,818305,818304,818303,818302,818301	20,10	0
184	1		@PveTongTianTatcontent4	10000_1004_102400,30000_202001_1	30000_101001_1,10000_1002_8200	818406,818405,818404,818403,818402,818401	20,10	0
185	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_102400,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_8200	818507,818505,818504,818503,818502,818501	20,10	10000
186	1		@PveTongTianTatcontent4	10000_1004_104300,30000_202011_1	30000_101001_1,10000_1002_8200	818606,818605,818604,818603,818602,818601	20,10	0
187	1		@PveTongTianTatcontent4	10000_1004_104300,30000_202001_1	30000_104211_1,10000_1002_8300	818706,818705,818704,818703,818702,818701	20,10	0
188	1		@PveTongTianTatcontent4	10000_1004_104300,30000_202011_1	30000_101001_1,10000_1002_8300	818806,818805,818804,818803,818802,818801	20,10	0
189	1		@PveTongTianTatcontent4	10000_1004_104300,30000_202001_1	30000_104211_1,10000_1002_8300	818906,818905,818904,818903,818902,818901	20,10	0
190	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_104300,30000_202012_1,30000_202002_1	30000_104001_1,10000_1002_8400	819007,819005,819004,819003,819002,819001	20,10	10000
191	1		@PveTongTianTatcontent4	10000_1004_105900,30000_202011_1	30000_104211_1,10000_1002_8400	819106,819105,819104,819103,819102,819101	20,10	0
192	1		@PveTongTianTatcontent4	10000_1004_105900,30000_202001_1	30000_101001_1,10000_1002_8500	819206,819205,819204,819203,819202,819201	20,10	0
193	1		@PveTongTianTatcontent4	10000_1004_105900,30000_202011_1	30000_104211_1,10000_1002_8500	819306,819305,819304,819303,819302,819301	20,10	0
194	1		@PveTongTianTatcontent4	10000_1004_105900,30000_202001_1	30000_101001_1,10000_1002_8500	819406,819405,819404,819403,819402,819401	20,10	0
195	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_105900,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_8600	819507,819505,819504,819503,819502,819501	20,10	10000
196	1		@PveTongTianTatcontent4	10000_1004_107200,30000_202011_1	30000_101001_1,10000_1002_8600	819606,819605,819604,819603,819602,819601	20,10	0
197	1		@PveTongTianTatcontent4	10000_1004_107200,30000_202001_1	30000_104211_1,10000_1002_8600	819706,819705,819704,819703,819702,819701	20,10	0
198	1		@PveTongTianTatcontent4	10000_1004_107200,30000_202011_1	30000_101001_1,10000_1002_8700	819806,819805,819804,819803,819802,819801	20,10	0
199	1		@PveTongTianTatcontent4	10000_1004_107200,30000_202001_1	30000_104211_1,10000_1002_8700	819906,819905,819904,819903,819902,819901	20,10	0
200	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_107200,30000_202013_1,30000_202003_1	30000_104101_1,10000_1002_8800	820009,820008,820007,820005,820003,820001	20,10	10000
201	1		@PveTongTianTatcontent4	10000_1004_108000,30000_202011_1	30000_104211_1,10000_1002_8800	820106,820105,820104,820103,820102,820101	20,10	0
202	1		@PveTongTianTatcontent4	10000_1004_108000,30000_202001_1	30000_101001_1,10000_1002_8800	820206,820205,820204,820203,820202,820201	20,10	0
203	1		@PveTongTianTatcontent4	10000_1004_108000,30000_202011_1	30000_104211_1,10000_1002_8900	820306,820305,820304,820303,820302,820301	20,10	0
204	1		@PveTongTianTatcontent4	10000_1004_108000,30000_202001_1	30000_101001_1,10000_1002_8900	820406,820405,820404,820403,820402,820401	20,10	0
205	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_108000,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_8900	820507,820505,820504,820503,820502,820501	20,10	10000
206	1		@PveTongTianTatcontent4	10000_1004_108300,30000_202011_1	30000_101001_1,10000_1002_9000	820606,820605,820604,820603,820602,820601	20,10	0
207	1		@PveTongTianTatcontent4	10000_1004_108300,30000_202001_1	30000_104211_1,10000_1002_9000	820706,820705,820704,820703,820702,820701	20,10	0
208	1		@PveTongTianTatcontent4	10000_1004_108300,30000_202011_1	30000_101001_1,10000_1002_9100	820806,820805,820804,820803,820802,820801	20,10	0
209	1		@PveTongTianTatcontent4	10000_1004_108300,30000_202001_1	30000_104211_1,10000_1002_9100	820906,820905,820904,820903,820902,820901	20,10	0
210	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_108300,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_9100	821007,821005,821004,821003,821002,821001	20,10	10000
211	1		@PveTongTianTatcontent4	10000_1004_112200,30000_202011_1	30000_104211_1,10000_1002_9200	821106,821105,821104,821103,821102,821101	20,10	0
212	1		@PveTongTianTatcontent4	10000_1004_112200,30000_202001_1	30000_101001_1,10000_1002_9200	821206,821205,821204,821203,821202,821201	20,10	0
213	1		@PveTongTianTatcontent4	10000_1004_112200,30000_202011_1	30000_104211_1,10000_1002_9300	821306,821305,821304,821303,821302,821301	20,10	0
214	1		@PveTongTianTatcontent4	10000_1004_112200,30000_202001_1	30000_101001_1,10000_1002_9300	821406,821405,821404,821403,821402,821401	20,10	0
215	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_112200,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_9300	821507,821505,821504,821503,821502,821501	20,10	10000
216	1		@PveTongTianTatcontent4	10000_1004_116000,30000_202011_1	30000_101001_1,10000_1002_9400	821606,821605,821604,821603,821602,821601	20,10	0
217	1		@PveTongTianTatcontent4	10000_1004_116000,30000_202001_1	30000_104211_1,10000_1002_9400	821706,821705,821704,821703,821702,821701	20,10	0
218	1		@PveTongTianTatcontent4	10000_1004_116000,30000_202011_1	30000_101001_1,10000_1002_9500	821806,821805,821804,821803,821802,821801	20,10	0
219	1		@PveTongTianTatcontent4	10000_1004_116000,30000_202001_1	30000_104211_1,10000_1002_9500	821906,821905,821904,821903,821902,821901	20,10	0
220	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_116000,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_9500	822009,822008,822007,822005,822003,822001	20,10	10000
221	1		@PveTongTianTatcontent4	10000_1004_119700,30000_202011_1	30000_104211_1,10000_1002_9600	822106,822105,822104,822103,822102,822101	20,10	0
222	1		@PveTongTianTatcontent4	10000_1004_119700,30000_202001_1	30000_101001_1,10000_1002_9600	822206,822205,822204,822203,822202,822201	20,10	0
223	1		@PveTongTianTatcontent4	10000_1004_119700,30000_202011_1	30000_104211_1,10000_1002_9700	822306,822305,822304,822303,822302,822301	20,10	0
224	1		@PveTongTianTatcontent4	10000_1004_119700,30000_202001_1	30000_101001_1,10000_1002_9700	822406,822405,822404,822403,822402,822401	20,10	0
225	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_119700,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_9800	822507,822505,822504,822503,822502,822501	20,10	10000
226	1		@PveTongTianTatcontent4	10000_1004_123400,30000_202011_1	30000_101001_1,10000_1002_9800	822606,822605,822604,822603,822602,822601	20,10	0
227	1		@PveTongTianTatcontent4	10000_1004_123400,30000_202001_1	30000_104211_1,10000_1002_9800	822706,822705,822704,822703,822702,822701	20,10	0
228	1		@PveTongTianTatcontent4	10000_1004_123400,30000_202011_1	30000_101001_1,10000_1002_9900	822806,822805,822804,822803,822802,822801	20,10	0
229	1		@PveTongTianTatcontent4	10000_1004_123400,30000_202001_1	30000_104211_1,10000_1002_9900	822906,822905,822904,822903,822902,822901	20,10	0
230	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_123400,30000_202012_1,30000_202002_1	30000_101001_1,10000_1002_10000	823007,823005,823004,823003,823002,823001	20,10	10000
231	1		@PveTongTianTatcontent4	10000_1004_127000,30000_202011_1	30000_104211_1,10000_1002_10000	823106,823105,823104,823103,823102,823101	20,10	0
232	1		@PveTongTianTatcontent4	10000_1004_127000,30000_202001_1	30000_101001_1,10000_1002_10000	823206,823205,823204,823203,823202,823201	20,10	0
233	1		@PveTongTianTatcontent4	10000_1004_127000,30000_202011_1	30000_104211_1,10000_1002_10100	823306,823305,823304,823303,823302,823301	20,10	0
234	1		@PveTongTianTatcontent4	10000_1004_127000,30000_202001_1	30000_101001_1,10000_1002_10100	823406,823405,823404,823403,823402,823401	20,10	0
235	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_127000,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_10200	823507,823505,823504,823503,823502,823501	20,10	10000
236	1		@PveTongTianTatcontent4	10000_1004_130400,30000_202011_1	30000_101001_1,10000_1002_10200	823606,823605,823604,823603,823602,823601	20,10	0
237	1		@PveTongTianTatcontent4	10000_1004_130400,30000_202001_1	30000_104211_1,10000_1002_10300	823706,823705,823704,823703,823702,823701	20,10	0
238	1		@PveTongTianTatcontent4	10000_1004_130400,30000_202011_1	30000_101001_1,10000_1002_10300	823806,823805,823804,823803,823802,823801	20,10	0
239	1		@PveTongTianTatcontent4	10000_1004_130400,30000_202001_1	30000_104211_1,10000_1002_10300	823906,823905,823904,823903,823902,823901	20,10	0
240	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_130400,30000_202013_1,30000_202003_1	30000_106001_1,10000_1002_10400	824009,824008,824007,824005,824003,824001	20,10	10000
241	1		@PveTongTianTatcontent4	10000_1004_133700,30000_202011_1	30000_104211_1,10000_1002_10400	824106,824105,824104,824103,824102,824101	20,10	0
242	1		@PveTongTianTatcontent4	10000_1004_133700,30000_202001_1	30000_101001_1,10000_1002_10500	824206,824205,824204,824203,824202,824201	20,10	0
243	1		@PveTongTianTatcontent4	10000_1004_133700,30000_202011_1	30000_104211_1,10000_1002_10500	824306,824305,824304,824303,824302,824301	20,10	0
244	1		@PveTongTianTatcontent4	10000_1004_133700,30000_202001_1	30000_101001_1,10000_1002_10600	824406,824405,824404,824403,824402,824401	20,10	0
245	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_133700,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_10600	824507,824505,824504,824503,824502,824501	20,10	10000
246	1		@PveTongTianTatcontent4	10000_1004_136900,30000_202011_1	30000_101001_1,10000_1002_10600	824606,824605,824604,824603,824602,824601	20,10	0
247	1		@PveTongTianTatcontent4	10000_1004_136900,30000_202001_1	30000_104211_1,10000_1002_10700	824706,824705,824704,824703,824702,824701	20,10	0
248	1		@PveTongTianTatcontent4	10000_1004_136900,30000_202011_1	30000_101001_1,10000_1002_10700	824806,824805,824804,824803,824802,824801	20,10	0
249	1		@PveTongTianTatcontent4	10000_1004_136900,30000_202001_1	30000_104211_1,10000_1002_10800	824906,824905,824904,824903,824902,824901	20,10	0
250	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_136900,30000_202012_1,30000_202002_1	30000_104212_1,10000_1002_10800	825007,825005,825004,825003,825002,825001	20,10	10000
251	1		@PveTongTianTatcontent4	10000_1004_139800,30000_202011_1	30000_104211_1,10000_1002_10900	825106,825105,825104,825103,825102,825101	20,10	0
252	1		@PveTongTianTatcontent4	10000_1004_139800,30000_202001_1	30000_101001_1,10000_1002_10900	825206,825205,825204,825203,825202,825201	20,10	0
253	1		@PveTongTianTatcontent4	10000_1004_139800,30000_202011_1	30000_104211_1,10000_1002_10900	825306,825305,825304,825303,825302,825301	20,10	0
254	1		@PveTongTianTatcontent4	10000_1004_139800,30000_202001_1	30000_101001_1,10000_1002_11000	825406,825405,825404,825403,825402,825401	20,10	0
255	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_139800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_11000	825508,825507,825505,825504,825502,825501	20,10	10000
256	1		@PveTongTianTatcontent4	10000_1004_142700,30000_202011_1	30000_101001_1,10000_1002_11100	825606,825605,825604,825603,825602,825601	20,10	0
257	1		@PveTongTianTatcontent4	10000_1004_142700,30000_202001_1	30000_104211_1,10000_1002_11100	825706,825705,825704,825703,825702,825701	20,10	0
258	1		@PveTongTianTatcontent4	10000_1004_142700,30000_202011_1	30000_101001_1,10000_1002_11200	825806,825805,825804,825803,825802,825801	20,10	0
259	1		@PveTongTianTatcontent4	10000_1004_142700,30000_202001_1	30000_104211_1,10000_1002_11200	825906,825905,825904,825903,825902,825901	20,10	0
260	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_142700,30000_202013_1,30000_202003_1	30000_101001_1,10000_1002_11300	826010,826009,826008,826007,826005,826001	20,10	10000
261	1		@PveTongTianTatcontent4	10000_1004_145300,30000_202011_1	30000_104211_1,10000_1002_11300	826106,826105,826104,826103,826102,826101	20,10	0
262	1		@PveTongTianTatcontent4	10000_1004_145300,30000_202001_1	30000_101001_1,10000_1002_11400	826206,826205,826204,826203,826202,826201	20,10	0
263	1		@PveTongTianTatcontent4	10000_1004_145300,30000_202011_1	30000_104211_1,10000_1002_11400	826306,826305,826304,826303,826302,826301	20,10	0
264	1		@PveTongTianTatcontent4	10000_1004_145300,30000_202001_1	30000_101001_1,10000_1002_11400	826406,826405,826404,826403,826402,826401	20,10	0
265	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_145300,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_11500	826507,826505,826504,826503,826502,826501	20,10	10000
266	1		@PveTongTianTatcontent4	10000_1004_147600,30000_202011_1	30000_101001_1,10000_1002_11500	826606,826605,826604,826603,826602,826601	20,10	0
267	1		@PveTongTianTatcontent4	10000_1004_147600,30000_202001_1	30000_104211_1,10000_1002_11600	826706,826705,826704,826703,826702,826701	20,10	0
268	1		@PveTongTianTatcontent4	10000_1004_147600,30000_202011_1	30000_101001_1,10000_1002_11600	826806,826805,826804,826803,826802,826801	20,10	0
269	1		@PveTongTianTatcontent4	10000_1004_147600,30000_202001_1	30000_104211_1,10000_1002_11700	826906,826905,826904,826903,826902,826901	20,10	0
270	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_147600,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_11700	827007,827005,827004,827003,827002,827001	20,10	10000
271	1		@PveTongTianTatcontent4	10000_1004_149800,30000_202011_1	30000_104211_1,10000_1002_11800	827106,827105,827104,827103,827102,827101	20,10	0
272	1		@PveTongTianTatcontent4	10000_1004_149800,30000_202001_1	30000_101001_1,10000_1002_11800	827206,827205,827204,827203,827202,827201	20,10	0
273	1		@PveTongTianTatcontent4	10000_1004_149800,30000_202011_1	30000_104211_1,10000_1002_11900	827306,827305,827304,827303,827302,827301	20,10	0
274	1		@PveTongTianTatcontent4	10000_1004_149800,30000_202001_1	30000_101001_1,10000_1002_11900	827406,827405,827404,827403,827402,827401	20,10	0
275	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_149800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_11900	827507,827505,827504,827503,827502,827501	20,10	10000
276	1		@PveTongTianTatcontent4	10000_1004_151700,30000_202011_1	30000_101001_1,10000_1002_12000	827606,827605,827604,827603,827602,827601	20,10	0
277	1		@PveTongTianTatcontent4	10000_1004_151700,30000_202001_1	30000_104211_1,10000_1002_12000	827706,827705,827704,827703,827702,827701	20,10	0
278	1		@PveTongTianTatcontent4	10000_1004_151700,30000_202011_1	30000_101001_1,10000_1002_12100	827806,827805,827804,827803,827802,827801	20,10	0
279	1		@PveTongTianTatcontent4	10000_1004_151700,30000_202001_1	30000_104211_1,10000_1002_12100	827906,827905,827904,827903,827902,827901	20,10	0
280	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_151700,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_12200	828009,828008,828007,828005,828003,828001	20,10	10000
281	1		@PveTongTianTatcontent4	10000_1004_153300,30000_202011_1	30000_104211_1,10000_1002_12200	828106,828105,828104,828103,828102,828101	20,10	0
282	1		@PveTongTianTatcontent4	10000_1004_153300,30000_202001_1	30000_101001_1,10000_1002_12300	828206,828205,828204,828203,828202,828201	20,10	0
283	1		@PveTongTianTatcontent4	10000_1004_153300,30000_202011_1	30000_104211_1,10000_1002_12300	828306,828305,828304,828303,828302,828301	20,10	0
284	1		@PveTongTianTatcontent4	10000_1004_153300,30000_202001_1	30000_101001_1,10000_1002_12400	828406,828405,828404,828403,828402,828401	20,10	0
285	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_153300,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_12400	828507,828505,828504,828503,828502,828501	20,10	10000
286	1		@PveTongTianTatcontent4	10000_1004_154600,30000_202011_1	30000_101001_1,10000_1002_12500	828606,828605,828604,828603,828602,828601	20,10	0
287	1		@PveTongTianTatcontent4	10000_1004_154600,30000_202001_1	30000_104211_1,10000_1002_12500	828706,828705,828704,828703,828702,828701	20,10	0
288	1		@PveTongTianTatcontent4	10000_1004_154600,30000_202011_1	30000_101001_1,10000_1002_12600	828806,828805,828804,828803,828802,828801	20,10	0
289	1		@PveTongTianTatcontent4	10000_1004_154600,30000_202001_1	30000_104211_1,10000_1002_12600	828906,828905,828904,828903,828902,828901	20,10	0
290	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_154600,30000_202012_1,30000_202002_1	30000_101001_1,10000_1002_12700	829007,829005,829004,829003,829002,829001	20,10	10000
291	1		@PveTongTianTatcontent4	10000_1004_155600,30000_202011_1	30000_104211_1,10000_1002_12700	829106,829105,829104,829103,829102,829101	20,10	0
292	1		@PveTongTianTatcontent4	10000_1004_155600,30000_202001_1	30000_101001_1,10000_1002_12800	829206,829205,829204,829203,829202,829201	20,10	0
293	1		@PveTongTianTatcontent4	10000_1004_155600,30000_202011_1	30000_104211_1,10000_1002_12800	829306,829305,829304,829303,829302,829301	20,10	0
294	1		@PveTongTianTatcontent4	10000_1004_155600,30000_202001_1	30000_101001_1,10000_1002_12800	829406,829405,829404,829403,829402,829401	20,10	0
295	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_155600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_12900	829507,829505,829504,829503,829502,829501	20,10	10000
296	1		@PveTongTianTatcontent4	10000_1004_156300,30000_202011_1	30000_101001_1,10000_1002_12900	829606,829605,829604,829603,829602,829601	20,10	0
297	1		@PveTongTianTatcontent4	10000_1004_156300,30000_202001_1	30000_104211_1,10000_1002_13000	829706,829705,829704,829703,829702,829701	20,10	0
298	1		@PveTongTianTatcontent4	10000_1004_156300,30000_202011_1	30000_101001_1,10000_1002_13000	829806,829805,829804,829803,829802,829801	20,10	0
299	1		@PveTongTianTatcontent4	10000_1004_156300,30000_202001_1	30000_104211_1,10000_1002_13100	829906,829905,829904,829903,829902,829901	20,10	0
300	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_156300,30000_202013_1,30000_202003_1	30000_104101_1,10000_1002_13100	830009,830008,830007,830005,830003,830001	20,10	10000
301	1		@PveTongTianTatcontent4	10000_1004_156600,30000_202011_1	30000_104211_1,10000_1002_13200	830106,830105,830104,830103,830102,830101	20,10	0
302	1		@PveTongTianTatcontent4	10000_1004_156600,30000_202001_1	30000_101001_1,10000_1002_13200	830206,830205,830204,830203,830202,830201	20,10	0
303	1		@PveTongTianTatcontent4	10000_1004_156600,30000_202011_1	30000_104211_1,10000_1002_13300	830306,830305,830304,830303,830302,830301	20,10	0
304	1		@PveTongTianTatcontent4	10000_1004_156600,30000_202001_1	30000_101001_1,10000_1002_13300	830406,830405,830404,830403,830402,830401	20,10	0
305	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_156600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_13400	830507,830505,830504,830503,830502,830501	20,10	10000
306	1		@PveTongTianTatcontent4	10000_1004_158600,30000_202011_1	30000_101001_1,10000_1002_13400	830606,830605,830604,830603,830602,830601	20,10	0
307	1		@PveTongTianTatcontent4	10000_1004_158600,30000_202001_1	30000_104211_1,10000_1002_13500	830706,830705,830704,830703,830702,830701	20,10	0
308	1		@PveTongTianTatcontent4	10000_1004_158600,30000_202011_1	30000_101001_1,10000_1002_13500	830806,830805,830804,830803,830802,830801	20,10	0
309	1		@PveTongTianTatcontent4	10000_1004_158600,30000_202001_1	30000_104211_1,10000_1002_13600	830906,830905,830904,830903,830902,830901	20,10	0
310	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_158600,30000_202012_1,30000_202002_1	30000_101002_1,10000_1002_13600	831007,831005,831004,831003,831002,831001	20,10	10000
311	1		@PveTongTianTatcontent4	10000_1004_160600,30000_202011_1	30000_104211_1,10000_1002_13700	831106,831105,831104,831103,831102,831101	20,10	0
312	1		@PveTongTianTatcontent4	10000_1004_160600,30000_202001_1	30000_101001_1,10000_1002_13700	831206,831205,831204,831203,831202,831201	20,10	0
313	1		@PveTongTianTatcontent4	10000_1004_160600,30000_202011_1	30000_104211_1,10000_1002_13800	831306,831305,831304,831303,831302,831301	20,10	0
314	1		@PveTongTianTatcontent4	10000_1004_160600,30000_202001_1	30000_101001_1,10000_1002_13800	831406,831405,831404,831403,831402,831401	20,10	0
315	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_160600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_13900	831507,831505,831504,831503,831502,831501	20,10	10000
316	1		@PveTongTianTatcontent4	10000_1004_162600,30000_202011_1	30000_101001_1,10000_1002_13900	831606,831605,831604,831603,831602,831601	20,10	0
317	1		@PveTongTianTatcontent4	10000_1004_162600,30000_202001_1	30000_104211_1,10000_1002_14000	831706,831705,831704,831703,831702,831701	20,10	0
318	1		@PveTongTianTatcontent4	10000_1004_162600,30000_202011_1	30000_101001_1,10000_1002_14000	831806,831805,831804,831803,831802,831801	20,10	0
319	1		@PveTongTianTatcontent4	10000_1004_162600,30000_202001_1	30000_104211_1,10000_1002_14100	831906,831905,831904,831903,831902,831901	20,10	0
320	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_162600,30000_202013_1,30000_202003_1	30000_101002_1,10000_1002_14100	832009,832008,832007,832005,832003,832001	20,10	10000
321	1		@PveTongTianTatcontent4	10000_1004_164600,30000_202011_1	30000_104211_1,10000_1002_14200	832106,832105,832104,832103,832102,832101	20,10	0
322	1		@PveTongTianTatcontent4	10000_1004_164600,30000_202001_1	30000_101001_1,10000_1002_14200	832206,832205,832204,832203,832202,832201	20,10	0
323	1		@PveTongTianTatcontent4	10000_1004_164600,30000_202011_1	30000_104211_1,10000_1002_14300	832306,832305,832304,832303,832302,832301	20,10	0
324	1		@PveTongTianTatcontent4	10000_1004_164600,30000_202001_1	30000_101001_1,10000_1002_14300	832406,832405,832404,832403,832402,832401	20,10	0
325	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_164600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_14400	832507,832505,832504,832503,832502,832501	20,10	10000
326	1		@PveTongTianTatcontent4	10000_1004_166600,30000_202011_1	30000_101001_1,10000_1002_14400	832606,832605,832604,832603,832602,832601	20,10	0
327	1		@PveTongTianTatcontent4	10000_1004_166600,30000_202001_1	30000_104211_1,10000_1002_14500	832706,832705,832704,832703,832702,832701	20,10	0
328	1		@PveTongTianTatcontent4	10000_1004_166600,30000_202011_1	30000_101001_1,10000_1002_14600	832806,832805,832804,832803,832802,832801	20,10	0
329	1		@PveTongTianTatcontent4	10000_1004_166600,30000_202001_1	30000_104211_1,10000_1002_14600	832906,832905,832904,832903,832902,832901	20,10	0
330	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_166600,30000_202012_1,30000_202002_1	30000_101002_1,10000_1002_14700	833007,833005,833004,833003,833002,833001	20,10	10000
331	1		@PveTongTianTatcontent4	10000_1004_168600,30000_202011_1	30000_104211_1,10000_1002_14700	833106,833105,833104,833103,833102,833101	20,10	0
332	1		@PveTongTianTatcontent4	10000_1004_168600,30000_202001_1	30000_101001_1,10000_1002_14800	833206,833205,833204,833203,833202,833201	20,10	0
333	1		@PveTongTianTatcontent4	10000_1004_168600,30000_202011_1	30000_104211_1,10000_1002_14800	833306,833305,833304,833303,833302,833301	20,10	0
334	1		@PveTongTianTatcontent4	10000_1004_168600,30000_202001_1	30000_101001_1,10000_1002_14900	833406,833405,833404,833403,833402,833401	20,10	0
335	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_168600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_14900	833508,833507,833505,833504,833502,833501	20,10	10000
336	1		@PveTongTianTatcontent4	10000_1004_170600,30000_202011_1	30000_101001_1,10000_1002_15000	833606,833605,833604,833603,833602,833601	20,10	0
337	1		@PveTongTianTatcontent4	10000_1004_170600,30000_202001_1	30000_104211_1,10000_1002_15000	833706,833705,833704,833703,833702,833701	20,10	0
338	1		@PveTongTianTatcontent4	10000_1004_170600,30000_202011_1	30000_101001_1,10000_1002_15100	833806,833805,833804,833803,833802,833801	20,10	0
339	1		@PveTongTianTatcontent4	10000_1004_170600,30000_202001_1	30000_104211_1,10000_1002_15100	833906,833905,833904,833903,833902,833901	20,10	0
340	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_170600,30000_202013_1,30000_202003_1	30000_101002_1,10000_1002_15200	834010,834009,834008,834007,834005,834001	20,10	10000
341	1		@PveTongTianTatcontent4	10000_1004_172600,30000_202011_1	30000_104211_1,10000_1002_15200	834106,834105,834104,834103,834102,834101	20,10	0
342	1		@PveTongTianTatcontent4	10000_1004_172600,30000_202001_1	30000_101001_1,10000_1002_15300	834206,834205,834204,834203,834202,834201	20,10	0
343	1		@PveTongTianTatcontent4	10000_1004_172600,30000_202011_1	30000_104211_1,10000_1002_15300	834306,834305,834304,834303,834302,834301	20,10	0
344	1		@PveTongTianTatcontent4	10000_1004_172600,30000_202001_1	30000_101001_1,10000_1002_15400	834406,834405,834404,834403,834402,834401	20,10	0
345	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_172600,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_15400	834507,834505,834504,834503,834502,834501	20,10	10000
346	1		@PveTongTianTatcontent4	10000_1004_174600,30000_202011_1	30000_101001_1,10000_1002_15500	834606,834605,834604,834603,834602,834601	20,10	0
347	1		@PveTongTianTatcontent4	10000_1004_174600,30000_202001_1	30000_104211_1,10000_1002_15600	834706,834705,834704,834703,834702,834701	20,10	0
348	1		@PveTongTianTatcontent4	10000_1004_174600,30000_202011_1	30000_101001_1,10000_1002_15600	834806,834805,834804,834803,834802,834801	20,10	0
349	1		@PveTongTianTatcontent4	10000_1004_174600,30000_202001_1	30000_104211_1,10000_1002_15700	834906,834905,834904,834903,834902,834901	20,10	0
350	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_174600,30000_202012_1,30000_202002_1	30000_101002_1,10000_1002_15700	835007,835005,835004,835003,835002,835001	20,10	10000
351	1		@PveTongTianTatcontent4	10000_1004_176600,30000_202011_1	30000_104211_1,10000_1002_15800	835106,835105,835104,835103,835102,835101	20,10	0
352	1		@PveTongTianTatcontent4	10000_1004_176600,30000_202001_1	30000_101001_1,10000_1002_15800	835206,835205,835204,835203,835202,835201	20,10	0
353	1		@PveTongTianTatcontent4	10000_1004_176600,30000_202011_1	30000_104211_1,10000_1002_15900	835306,835305,835304,835303,835302,835301	20,10	0
