关卡ID	关卡名称	关卡类型	下一关ID	怪物列表	首次通关奖励	扫荡奖励	通关战力需求	过关条件
138	试炼之塔（5）第18关	1	139	4051801,4051802	10000_1002_5000_100,30000_60022_1_100,70000_10504_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10504_1_20	0	4_0.5
139	试炼之塔（5）第19关	1	140	4051901,4051902	10000_1002_5000_100,30000_60022_1_100,70000_10504_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10504_1_20	0	4_0.5
140	试炼之塔（5）第20关	2	141	4052001,4052002,4052003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20504_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20504_1_20	0	2_30,4_0.3
141	试炼之塔（5）第21关	1	142	4052101,4052102	10000_1002_5000_100,30000_60022_1_100,70000_10505_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10505_1_20	0	2_20,4_0.5
142	试炼之塔（5）第22关	1	143	4052201,4052202	10000_1002_5000_100,30000_60022_1_100,70000_10505_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10505_1_20	0	2_20,4_0.5
143	试炼之塔（5）第23关	1	144	4052301,4052302	10000_1002_5000_100,30000_60022_1_100,70000_10505_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10505_1_20	0	2_20,4_0.5
144	试炼之塔（5）第24关	1	145	4052401,4052402	10000_1002_5000_100,30000_60022_1_100,70000_10505_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10505_1_20	0	2_20,4_0.5
145	试炼之塔（5）第25关	2	146	4052501,4052502,4052503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20505_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20505_1_20	0	2_30,4_0.3
146	试炼之塔（5）第26关	1	147	4052601,4052602,4052603	10000_1002_5000_100,30000_60022_1_100,70000_10506_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10506_1_20	0	2_20,4_0.5
147	试炼之塔（5）第27关	1	148	4052701,4052702,4052703	10000_1002_5000_100,30000_60022_1_100,70000_10506_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10506_1_20	0	2_20,4_0.5
148	试炼之塔（5）第28关	1	149	4052801,4052802,4052803	10000_1002_5000_100,30000_60022_1_100,70000_10506_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10506_1_20	0	2_20,4_0.5
149	试炼之塔（5）第29关	1	150	4052901,4052902,4052903	10000_1002_5000_100,30000_60022_1_100,70000_10506_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10506_1_20	0	2_20,4_0.5
150	试炼之塔（5）第30关	2	151	4053001,4053002,4053003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20506_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20506_1_20	0	2_30
151	试炼之塔（6）第1关	1	152	4060101,4060102,4060103	10000_1002_5000_100,30000_60022_1_100,70000_10601_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10601_1_20	0	1_0
152	试炼之塔（6）第2关	1	153	4060201,4060202,4060203	10000_1002_5000_100,30000_60022_1_100,70000_10601_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10601_1_20	0	1_0
153	试炼之塔（6）第3关	1	154	4060301,4060302,4060303	10000_1002_5000_100,30000_60022_1_100,70000_10601_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10601_1_20	0	1_0
154	试炼之塔（6）第4关	1	155	4060401,4060402,4060403	10000_1002_5000_100,30000_60022_1_100,70000_10601_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10601_1_20	0	1_0
155	试炼之塔（6）第5关	2	156	4060501,4060502,4060503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20601_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20601_1_20	0	4_0.3
156	试炼之塔（6）第6关	1	157	4060601,4060602	10000_1002_5000_100,30000_60022_1_100,70000_10602_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10602_1_20	0	2_20
157	试炼之塔（6）第7关	1	158	4060701,4060702	10000_1002_5000_100,30000_60022_1_100,70000_10602_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10602_1_20	0	2_20
158	试炼之塔（6）第8关	1	159	4060801,4060802	10000_1002_5000_100,30000_60022_1_100,70000_10602_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10602_1_20	0	2_20
159	试炼之塔（6）第9关	1	160	4060901,4060902	10000_1002_5000_100,30000_60022_1_100,70000_10602_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10602_1_20	0	2_20
160	试炼之塔（6）第10关	2	161	4061001,4061002,4061003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20602_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20602_1_20	0	2_30,4_0.3
161	试炼之塔（6）第11关	1	162	4061101,4061102	10000_1002_5000_100,30000_60022_1_100,70000_10603_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10603_1_20	0	4_0.5
162	试炼之塔（6）第12关	1	163	4061201,4061202	10000_1002_5000_100,30000_60022_1_100,70000_10603_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10603_1_20	0	4_0.5
163	试炼之塔（6）第13关	1	164	4061301,4061302	10000_1002_5000_100,30000_60022_1_100,70000_10603_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10603_1_20	0	4_0.5
164	试炼之塔（6）第14关	1	165	4061401,4061402	10000_1002_5000_100,30000_60022_1_100,70000_10603_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10603_1_20	0	4_0.5
165	试炼之塔（6）第15关	2	166	4061501,4061502,4061503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20603_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20603_1_20	0	2_30,4_0.3
166	试炼之塔（6）第16关	1	167	4061601,4061602	10000_1002_5000_100,30000_60022_1_100,70000_10604_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10604_1_20	0	2_20,4_0.5
167	试炼之塔（6）第17关	1	168	4061701,4061702	10000_1002_5000_100,30000_60022_1_100,70000_10604_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10604_1_20	0	2_20,4_0.5
168	试炼之塔（6）第18关	1	169	4061801,4061802	10000_1002_5000_100,30000_60022_1_100,70000_10604_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10604_1_20	0	2_20,4_0.5
169	试炼之塔（6）第19关	1	170	4061901,4061902	10000_1002_5000_100,30000_60022_1_100,70000_10604_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10604_1_20	0	2_20,4_0.5
170	试炼之塔（6）第20关	2	171	4062001,4062002,4062003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20604_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20604_1_20	0	2_30,4_0.3
171	试炼之塔（6）第21关	1	172	4062101,4062102,4062103	10000_1002_5000_100,30000_60022_1_100,70000_10605_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10605_1_20	0	2_20,4_0.5
172	试炼之塔（6）第22关	1	173	4062201,4062202,4062203	10000_1002_5000_100,30000_60022_1_100,70000_10605_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10605_1_20	0	2_20,4_0.5
173	试炼之塔（6）第23关	1	174	4062301,4062302,4062303	10000_1002_5000_100,30000_60022_1_100,70000_10605_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10605_1_20	0	2_20,4_0.5
174	试炼之塔（6）第24关	1	175	4062401,4062402,4062403	10000_1002_5000_100,30000_60022_1_100,70000_10605_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10605_1_20	0	2_20,4_0.5
175	试炼之塔（6）第25关	2	176	4062501,4062502,4062503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20605_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20605_1_20	0	2_30,4_0.3
176	试炼之塔（6）第26关	1	177	4062601,4062602,4062603	10000_1002_5000_100,30000_60022_1_100,70000_10606_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10606_1_20	0	2_20,4_0.5
177	试炼之塔（6）第27关	1	178	4062701,4062702,4062703	10000_1002_5000_100,30000_60022_1_100,70000_10606_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10606_1_20	0	2_20,4_0.5
178	试炼之塔（6）第28关	1	179	4062801,4062802,4062803	10000_1002_5000_100,30000_60022_1_100,70000_10606_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10606_1_20	0	2_20,4_0.5
179	试炼之塔（6）第29关	1	180	4062901,4062902,4062903	10000_1002_5000_100,30000_60022_1_100,70000_10606_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10606_1_20	0	2_20
180	试炼之塔（6）第30关	2	0	4063001,4063002,4063003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20606_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20606_1_20	0	2_30,4_0.3
